time,pkg_pwr,ram_pwr
1,28.88,5.95
2,30.25,5.69
3,29.64,5.72
4,40.17,6.85
5,30.19,5.86
6,28.58,5.50
7,26.11,5.36
8,26.00,5.40
9,29.26,5.58
10,30.23,5.54
11,26.15,5.46
12,28.94,5.41
13,24.05,5.39
14,28.33,5.64
15,26.58,5.54
16,29.18,5.35
17,27.73,5.41
18,26.80,5.35
19,24.97,5.62
20,30.44,5.53
21,25.63,5.44
22,25.29,5.40
23,26.53,5.52
24,35.08,6.09
25,29.05,5.85
26,23.93,5.57
27,29.39,5.48
28,23.25,5.39
29,26.15,5.69
30,31.57,5.55
31,30.16,5.87
32,40.28,6.79
33,25.38,5.57
34,33.78,6.02
35,38.13,6.49
36,27.75,5.52
37,28.65,5.47
38,26.49,5.39
39,33.30,6.20
40,40.35,6.84
41,40.07,7.41
42,40.01,7.71
43,41.54,9.05
44,43.48,10.31
45,44.12,10.94
46,43.19,10.06
47,43.55,10.35
48,43.81,10.63
49,42.70,9.41
50,43.32,10.13
51,43.04,9.82
52,42.90,9.63
53,43.49,10.24
54,43.89,10.51
55,43.02,9.69
56,43.88,10.42
57,43.08,9.74
58,44.12,10.64
59,43.76,10.32
60,43.59,10.13
61,43.53,10.16
62,43.08,9.73
63,43.86,10.48
64,43.38,9.96
65,43.14,9.82
66,44.22,10.77
67,44.13,10.77
68,44.10,10.70
69,43.80,10.37
70,42.91,9.57
71,43.55,10.17
72,43.10,9.60
73,44.23,10.76
74,43.34,10.01
75,43.04,9.75
76,43.91,10.33
77,44.14,10.75
78,44.31,10.99
79,43.67,10.36
80,43.55,10.11
81,43.11,9.69
82,44.48,11.06
83,44.17,10.69
84,43.75,10.33
85,44.16,10.66
86,43.19,9.81
87,43.38,9.94
88,43.87,10.50
89,44.08,10.68
90,44.15,10.78
91,43.00,9.56
92,43.77,10.44
93,43.66,10.29
94,43.16,9.79
95,44.09,10.51
96,43.71,10.31
97,43.02,9.72
98,43.97,10.49
99,44.06,10.59
100,43.15,9.71
101,42.89,9.49
102,43.68,10.14
103,43.57,10.05
104,42.55,9.17
105,44.32,10.73
106,43.31,9.77
107,43.75,10.38
108,43.35,10.00
109,42.86,9.43
110,44.00,10.65
111,44.35,10.90
112,44.38,10.87
113,44.35,10.87
114,43.81,10.41
115,44.24,10.75
116,44.26,10.75
117,43.11,9.65
118,43.70,10.35
119,42.72,9.36
120,43.95,10.56
121,44.25,10.92
122,43.57,10.17
123,43.00,9.65
124,44.24,10.65
125,44.10,10.66
126,42.81,9.55
127,43.09,9.72
128,44.48,10.91
129,43.09,9.78
130,43.00,9.68
131,44.01,10.55
132,44.31,10.82
133,44.30,10.84
134,44.17,10.81
135,43.95,10.52
136,43.02,9.70
137,43.49,10.03
138,44.31,10.78
139,44.01,10.63
140,44.14,10.71
141,44.22,10.78
142,44.17,10.75
143,43.93,10.46
144,43.89,10.44
145,44.35,10.86
146,44.38,10.93
147,44.46,11.00
148,44.45,11.04
149,43.06,9.79
150,43.75,10.38
151,44.35,10.94
152,44.45,10.99
153,44.31,10.92
154,44.18,10.79
155,44.37,10.90
156,44.47,11.05
157,44.08,10.67
158,44.44,10.94
159,44.11,10.63
160,44.53,10.96
161,44.37,10.90
162,44.36,10.83
163,44.38,10.91
164,44.05,10.51
165,44.09,10.61
166,44.61,11.12
167,44.62,11.16
168,44.37,10.94
169,42.91,9.33
170,26.09,5.73
171,23.16,5.45
172,23.06,5.38
173,25.82,5.75
174,39.45,7.38
175,40.13,7.61
176,39.91,7.45
177,42.66,9.64
178,43.19,10.01
179,43.79,10.55
180,44.00,10.83
181,44.45,11.28
182,44.22,11.04
183,44.28,11.08
184,44.00,10.73
185,44.15,10.95
186,44.45,11.18
187,44.29,11.00
188,44.33,11.04
189,43.98,10.72
190,44.21,10.91
191,44.39,11.01
192,44.47,11.02
193,44.56,11.00
194,44.04,10.67
195,44.33,10.86
196,44.51,11.10
197,44.47,11.18
198,44.52,11.16
199,43.92,10.59
200,43.92,10.57
201,44.07,10.70
202,44.65,11.13
203,44.25,10.88
204,43.57,10.08
205,42.95,9.74
206,44.40,11.01
207,44.46,11.01
208,44.57,11.06
209,44.20,10.67
210,44.19,10.73
211,44.49,10.90
212,44.71,11.17
213,44.01,10.58
214,44.25,10.75
215,44.52,11.03
216,44.23,10.79
217,44.43,10.97
218,44.34,10.96
219,44.21,10.88
220,44.40,10.98
221,44.65,11.13
222,44.45,10.93
223,44.62,11.11
224,44.15,10.71
225,44.36,10.97
226,44.50,11.06
227,44.50,10.96
228,44.33,10.89
229,43.64,10.30
230,44.26,10.82
231,44.07,10.74
232,44.45,11.00
233,44.59,11.19
234,44.01,10.55
235,44.27,10.82
236,44.45,11.00
237,44.35,10.93
238,43.34,10.06
239,42.82,9.37
240,43.91,10.60
241,44.28,10.87
242,42.98,9.66
243,43.16,9.62
244,44.20,10.77
245,44.49,10.98
246,44.42,10.92
247,44.45,10.96
248,44.41,10.91
249,44.28,10.80
250,44.63,11.11
251,43.11,9.73
252,43.09,9.80
253,44.45,11.00
254,44.35,10.89
255,44.35,10.95
256,44.33,10.89
257,44.57,11.12
258,44.39,10.92
259,44.15,10.58
260,43.40,9.95
261,43.15,9.75
262,43.58,10.17
263,44.55,11.08
264,44.36,10.83
265,44.40,10.97
266,44.36,10.91
267,44.44,11.04
268,44.54,11.09
269,43.25,9.86
270,42.97,9.52
271,44.11,10.74
272,44.04,10.68
273,44.43,11.00
274,44.11,10.71
275,44.18,10.76
276,44.32,10.85
277,44.50,10.98
278,43.80,10.33
279,43.40,9.98
280,43.00,9.69
281,44.09,10.69
282,44.36,10.91
283,44.51,11.06
284,44.18,10.72
285,44.45,10.97
286,44.38,11.02
287,44.55,11.15
288,44.52,11.11
289,44.26,10.90
290,44.31,10.95
291,43.06,9.52
292,27.00,5.80
293,23.06,5.47
294,24.60,5.70
295,33.64,5.93
296,39.62,7.32
297,40.03,7.42
298,39.93,7.53
299,43.22,10.23
300,43.78,10.62
301,43.95,10.77
302,44.11,10.88
303,44.07,10.90
304,43.61,10.40
305,43.91,10.67
306,43.68,10.54
307,43.77,10.53
308,44.01,10.84
309,44.04,10.87
310,44.14,10.83
311,44.35,11.06
312,43.42,10.09
313,42.89,9.68
314,43.56,10.34
315,44.26,10.90
316,44.42,11.02
317,42.45,9.22
318,43.54,10.26
319,43.35,9.99
320,43.01,9.71
321,43.83,10.57
322,43.77,10.55
323,42.59,9.32
324,43.48,10.18
325,43.85,10.62
326,44.45,11.06
327,44.38,11.06
328,44.05,10.74
329,43.43,10.01
330,42.77,9.47
331,44.05,10.78
332,44.10,10.76
333,43.40,10.17
334,43.17,9.84
335,42.71,9.50
336,43.59,10.23
337,43.86,10.49
338,43.10,9.85
339,43.84,10.51
340,44.33,11.02
341,43.81,10.48
342,44.45,11.12
343,44.27,11.03
344,43.98,10.62
345,43.20,9.90
346,43.33,10.01
347,43.52,10.12
348,44.33,10.86
349,44.05,10.62
350,43.94,10.64
351,43.22,9.96
352,42.39,9.10
353,43.21,9.93
354,44.04,10.76
355,43.79,10.48
356,44.42,11.14
357,44.53,11.12
358,44.19,10.82
359,43.91,10.67
360,44.38,10.96
361,44.03,10.67
362,44.28,10.93
363,44.30,10.99
364,43.10,9.92
365,44.11,10.78
366,44.23,10.86
367,44.03,10.61
368,43.08,9.75
369,43.56,10.21
370,44.50,11.13
371,44.26,10.87
372,44.05,10.68
373,44.44,10.92
374,44.01,10.50
375,44.30,10.73
376,44.04,10.62
377,43.94,10.59
378,44.49,11.04
379,44.22,10.86
380,44.53,11.11
381,44.16,10.79
382,44.40,11.06
383,44.13,10.75
384,43.77,10.41
385,44.41,10.99
386,44.25,10.86
387,44.34,11.02
388,44.05,10.76
389,44.24,10.90
390,44.31,10.90
391,44.28,10.88
392,44.65,11.20
393,44.50,11.16
394,43.95,10.69
395,44.16,10.72
396,44.32,10.90
397,44.37,11.02
398,44.17,10.73
399,43.56,10.30
400,42.88,9.70
401,44.07,10.71
402,44.47,11.12
403,44.45,11.07
404,44.27,10.78
405,44.45,10.93
406,44.20,10.81
407,44.20,10.90
408,43.89,10.59
409,43.61,10.41
410,43.00,9.69
411,44.45,11.06
412,44.35,10.94
413,44.51,11.15
414,44.13,10.78
415,44.37,10.97
416,44.45,11.11
417,41.54,8.74
418,24.49,5.50
419,25.15,5.81
420,30.93,5.85
421,34.37,5.95
422,39.94,7.62
423,39.82,7.58
424,41.23,8.64
425,43.60,10.43
426,43.90,10.83
427,44.10,10.97
428,44.26,11.07
429,43.72,10.62
430,43.86,10.73
431,43.98,10.82
432,43.85,10.71
433,43.22,9.93
434,43.75,10.62
435,44.03,10.79
436,43.91,10.76
437,44.06,10.87
438,44.21,11.02
439,43.95,10.78
440,44.25,11.00
441,44.19,10.87
442,44.26,10.99
443,44.02,10.75
444,43.71,10.57
445,43.64,10.46
446,44.15,10.96
447,44.20,10.99
448,44.44,11.24
449,44.08,10.79
450,44.20,10.87
451,43.97,10.66
452,44.38,10.96
453,44.35,11.05
454,43.04,9.99
455,42.57,9.38
456,42.79,9.54
457,43.35,10.19
458,44.21,10.90
459,43.18,9.88
460,43.17,10.02
461,43.98,10.76
462,44.35,11.08
463,44.39,11.12
464,44.07,10.79
465,44.09,10.86
466,44.21,11.01
467,44.25,10.91
468,44.11,10.90
469,43.70,10.44
470,44.40,11.12
471,44.24,10.96
472,43.85,10.63
473,44.21,10.96
474,43.81,10.54
475,44.08,10.85
476,44.10,10.81
477,43.72,10.34
478,44.07,10.68
479,43.83,10.55
480,44.33,11.02
481,44.32,11.03
482,44.32,11.04
483,44.19,10.90
484,44.11,10.80
485,44.11,10.80
486,44.07,10.75
487,44.65,11.26
488,44.42,11.07
