time,pkg_pwr,ram_pwr
319,40.56,5.11
320,39.43,5.00
321,39.58,4.98
322,40.52,4.96
323,40.53,5.19
324,39.65,5.10
325,39.44,4.98
326,39.61,4.93
327,39.91,5.00
328,39.82,5.25
329,39.61,5.02
330,39.60,4.97
331,40.31,4.96
332,40.60,4.95
333,40.47,5.19
334,40.29,5.10
335,40.46,4.99
336,40.57,4.91
337,40.62,4.96
338,40.53,5.16
339,40.60,5.06
340,40.58,4.97
341,40.58,5.00
342,40.19,4.94
343,39.44,5.23
344,39.43,5.13
345,39.96,5.01
346,40.20,4.94
347,39.81,4.94
348,39.46,5.16
349,39.75,5.10
350,40.59,5.05
351,40.63,5.00
352,39.41,4.96
353,39.51,5.22
354,39.46,5.15
355,39.45,4.98
356,39.40,4.97
357,39.36,4.93
358,39.42,5.14
359,39.43,5.01
360,39.44,5.01
361,39.44,4.93
362,39.46,4.92
363,39.48,5.17
364,39.44,5.14
365,39.43,5.00
366,39.42,4.94
367,39.48,4.91
368,39.98,5.20
369,40.34,5.08
370,40.08,4.98
371,39.54,5.37
372,39.48,4.99
373,40.33,5.18
374,40.34,5.08
375,39.80,4.96
376,39.45,5.20
377,39.42,4.95
378,39.84,5.22
379,40.24,5.08
380,40.08,4.95
381,39.43,5.01
382,40.01,4.97
383,40.30,5.17
384,40.02,5.07
385,39.43,4.99
386,39.68,5.00
387,40.18,4.91
388,40.22,5.26
389,39.41,5.08
390,39.39,4.97
391,40.22,4.93
392,40.41,4.94
393,39.90,5.18
394,39.53,5.06
395,39.49,4.94
396,39.49,5.00
397,39.43,4.95
398,39.40,5.22
399,39.37,5.08
400,39.32,5.10
401,39.28,4.99
402,39.09,5.01
403,39.19,5.24
404,39.15,5.11
405,39.83,4.98
406,39.79,5.01
407,39.36,4.97
408,39.34,5.25
409,40.47,5.02
410,40.51,4.96
411,39.59,4.97
412,39.41,4.94
413,40.01,5.20
414,40.19,5.12
415,40.20,5.12
416,40.20,5.07
417,40.28,4.98
418,40.52,5.27
419,40.54,5.09
420,40.33,5.09
421,40.35,5.07
422,40.63,5.04
423,40.57,5.30
424,40.61,5.19
425,40.64,5.03
426,40.61,5.05
427,40.63,5.07
428,40.62,5.34
429,40.53,5.14
430,40.60,5.06
431,40.63,5.00
432,40.31,5.02
433,39.93,5.29
434,40.28,5.22
435,40.42,5.01
436,40.19,4.96
437,40.01,4.95
438,40.09,5.30
439,40.57,5.10
440,40.62,5.02
441,40.10,4.98
442,39.85,4.97
443,40.64,5.17
444,40.60,5.09
445,39.88,4.98
446,39.73,4.94
447,40.56,4.92
448,40.60,5.24
449,40.26,5.07
450,40.07,5.00
451,40.20,4.97
452,40.41,4.92
453,40.39,5.16
454,40.16,5.12
455,40.26,4.98
456,40.39,4.99
457,40.47,4.95
458,40.32,5.24
459,40.18,5.05
460,40.15,4.99
461,40.28,5.21
462,40.37,4.95
463,40.42,5.22
464,39.59,5.10
465,39.54,4.99
466,39.65,4.97
467,39.62,4.96
468,39.43,5.22
469,39.37,5.07
470,39.56,5.02
471,39.84,4.93
