time,pkg_pwr,ram_pwr
1,23.72,5.66
2,22.90,5.37
3,22.71,5.43
4,22.41,5.30
5,22.23,5.16
6,22.71,5.38
7,22.33,5.22
8,22.33,5.31
9,22.14,5.09
10,22.25,5.10
11,22.56,5.27
12,22.37,5.28
13,21.98,5.20
14,22.27,5.37
15,22.09,5.31
16,22.43,5.42
17,22.02,5.24
18,21.89,5.16
19,22.01,5.07
20,21.88,5.07
21,23.29,5.51
22,22.03,5.25
23,22.00,5.25
24,22.10,5.09
25,21.83,5.05
26,22.32,5.30
27,22.15,5.16
28,22.08,5.07
29,23.49,5.34
30,33.18,6.27
31,22.40,5.43
32,21.98,5.16
33,22.17,5.09
34,21.98,5.05
35,22.13,5.11
36,22.32,5.24
37,22.13,5.14
38,21.95,5.02
39,22.09,5.09
40,21.91,5.09
41,22.76,5.41
42,22.05,5.15
43,22.04,5.03
44,22.12,5.03
45,32.93,6.56
46,29.15,5.74
47,22.38,5.26
48,22.07,5.19
49,22.83,5.36
50,22.28,5.21
51,22.47,5.30
52,31.66,6.08
53,22.58,5.28
54,25.66,5.62
55,36.62,6.31
56,23.00,5.50
57,23.09,5.43
58,22.22,5.23
59,22.28,5.13
60,25.98,5.64
61,40.06,6.47
62,38.95,5.27
63,39.14,5.40
64,40.58,7.10
65,40.61,7.10
66,40.59,7.14
67,40.22,6.89
68,39.87,6.37
69,39.85,6.36
70,39.86,6.42
71,39.91,6.60
72,39.88,6.53
73,39.82,6.36
74,39.86,6.34
75,40.41,6.97
76,40.44,7.16
77,40.31,7.28
78,39.91,6.95
79,39.91,6.89
80,39.79,6.94
81,39.74,6.97
82,39.75,6.94
83,39.70,6.94
84,39.70,6.92
85,39.79,7.02
86,40.29,7.17
87,40.19,7.20
88,40.13,7.30
89,40.12,7.34
90,40.06,7.37
91,39.86,7.18
92,39.66,7.02
93,39.72,7.01
94,39.77,7.06
95,39.72,7.04
96,39.66,7.07
97,39.64,7.02
98,39.59,7.06
99,40.21,7.18
100,40.25,7.20
101,40.24,7.24
102,40.17,7.31
103,40.20,7.34
104,40.12,7.38
105,40.09,7.38
106,40.02,7.39
107,40.06,7.40
108,40.05,7.43
109,40.12,7.43
110,40.11,7.34
111,39.91,7.03
112,39.85,7.08
113,39.76,7.05
114,39.74,7.04
115,39.81,7.05
116,39.84,7.04
117,30.84,6.09
118,22.29,5.24
119,22.11,5.12
120,22.67,5.34
121,31.10,5.43
122,38.87,5.23
123,39.74,6.12
124,40.54,7.10
125,40.50,7.14
126,40.50,7.13
127,39.78,6.71
128,39.79,6.46
129,39.87,6.72
130,39.85,6.63
131,39.77,6.59
132,39.82,6.57
133,39.73,6.43
134,39.78,6.57
135,40.41,7.12
136,40.30,7.23
137,40.06,7.16
138,39.79,6.95
139,39.85,6.93
140,39.81,6.97
141,39.83,7.02
142,39.85,6.95
143,39.83,6.93
144,39.80,6.95
145,40.10,7.09
146,40.35,7.19
147,40.28,7.25
148,40.17,7.33
149,40.20,7.35
150,40.12,7.38
151,39.82,7.07
152,39.84,7.03
153,39.87,6.99
154,39.82,7.00
155,39.87,7.02
156,39.89,7.06
157,39.88,7.05
158,40.09,7.14
159,40.36,7.17
160,40.28,7.25
161,40.24,7.28
162,40.28,7.30
163,40.30,7.33
164,40.29,7.36
165,40.23,7.34
166,40.17,7.39
167,40.17,7.42
168,40.13,7.43
169,40.11,7.43
170,39.91,7.19
171,39.77,7.03
172,39.75,7.01
173,39.84,7.03
174,39.78,7.05
175,39.81,7.08
176,39.11,6.91
177,23.27,5.37
178,22.09,5.20
179,22.43,5.23
180,22.70,5.35
181,38.47,5.49
182,38.57,5.12
183,40.29,7.04
184,40.40,7.14
185,40.33,7.14
186,40.05,7.09
187,39.62,6.58
188,39.66,6.52
189,39.62,6.45
190,39.65,6.38
191,39.69,6.69
192,39.70,6.65
193,39.59,6.48
194,40.05,6.76
195,40.34,7.17
196,40.14,7.26
197,39.77,7.03
198,39.67,6.93
199,39.70,6.92
200,39.67,6.94
201,39.66,6.94
202,39.70,6.94
203,39.66,6.93
204,39.68,6.95
205,40.28,7.16
206,40.25,7.23
207,40.21,7.31
208,40.09,7.34
209,40.06,7.33
210,39.86,7.19
211,39.72,7.02
212,39.74,7.00
213,39.71,7.00
214,39.71,7.05
215,39.74,7.05
216,39.73,7.04
217,39.64,7.08
218,40.22,7.18
219,40.20,7.19
220,40.23,7.24
221,40.16,7.31
222,40.15,7.35
223,40.11,7.37
224,40.04,7.38
225,40.12,7.40
226,40.03,7.42
227,40.00,7.39
228,39.97,7.46
229,39.95,7.46
230,39.61,7.02
231,39.64,7.05
232,39.63,7.08
233,39.70,7.06
234,39.68,7.07
235,39.64,7.04
236,39.98,7.01
237,39.26,6.74
238,37.93,6.52
239,28.12,5.79
240,22.16,5.20
241,22.52,5.38
242,22.74,5.40
243,22.20,5.21
244,22.08,5.17
245,22.60,5.31
246,22.76,5.46
247,22.81,5.39
248,22.17,5.27
249,22.14,5.15
250,22.07,5.10
251,22.56,5.29
252,22.49,5.34
253,22.17,5.18
254,22.13,5.11
255,22.09,5.06
256,22.65,5.35
257,22.11,5.16
258,22.16,5.11
259,22.15,5.14
260,22.07,5.10
261,22.39,5.35
262,22.06,5.16
263,22.63,5.29
264,22.26,5.23
265,22.90,5.49
266,22.43,5.43
267,22.10,5.20
268,22.00,5.07
269,22.46,5.22
270,22.17,5.14
271,22.45,5.23
272,22.27,5.18
273,22.22,5.15
274,22.89,5.34
275,22.12,5.15
276,22.21,5.18
277,22.31,5.26
278,22.23,5.18
279,22.37,5.29
280,22.16,5.17
281,21.83,5.02
282,21.99,5.01
283,21.88,4.97
284,22.02,5.03
285,22.07,5.00
286,21.94,4.96
287,21.96,4.91
288,22.07,4.95
289,21.89,4.96
290,22.02,4.91
291,21.82,4.86
292,21.93,4.95
293,21.85,4.97
294,21.96,4.98
295,21.89,4.94
296,21.99,4.96
297,21.94,4.94
298,22.03,4.98
299,21.85,4.92
300,21.87,4.98
301,21.92,4.97
302,21.86,4.95
303,21.94,5.01
304,21.83,4.89
305,21.83,4.92
306,21.76,4.92
307,21.73,4.90
308,21.92,4.96
309,21.86,4.98
310,21.91,4.98
311,21.86,4.94
312,21.79,4.94
313,21.90,4.97
314,21.85,4.95
315,21.79,4.93
316,21.72,4.90
317,21.79,4.87
318,21.82,4.88
319,21.74,4.86
320,21.84,4.85
321,21.83,4.87
322,21.74,4.85
323,21.79,4.89
324,21.90,4.87
325,21.87,4.83
326,21.81,4.86
327,21.86,4.89
328,21.88,4.90
329,21.92,4.98
330,21.82,4.96
331,21.88,4.99
332,21.85,5.02
333,21.94,5.03
334,21.79,5.03
335,21.87,5.00
336,21.83,4.99
337,21.82,4.96
338,21.71,4.97
339,21.86,4.99
340,21.79,4.93
341,21.84,4.94
342,22.24,5.22
