time,pkg_pwr,ram_pwr
1,25.11,5.62
2,27.59,5.42
3,27.17,5.30
4,26.68,5.52
5,33.84,5.88
6,33.43,5.74
7,34.14,5.78
8,25.46,5.49
9,26.25,5.50
10,25.44,5.36
11,26.03,5.41
12,26.59,5.22
13,25.40,5.25
14,26.39,5.47
15,27.01,5.31
16,24.35,5.16
17,25.63,5.08
18,25.67,5.15
19,25.09,5.44
20,25.07,5.25
21,24.10,5.07
22,24.56,5.11
23,25.84,5.17
24,27.65,5.37
25,26.56,5.40
26,24.17,5.30
27,25.39,5.20
28,24.96,5.22
29,29.72,5.71
30,29.14,5.48
31,24.04,5.21
32,26.81,5.45
33,26.13,5.54
34,26.91,5.42
35,24.78,5.22
36,24.48,5.20
37,25.66,5.20
38,23.59,5.33
39,27.18,5.43
40,24.79,5.26
41,23.65,5.12
42,25.45,5.12
43,24.86,5.22
44,25.51,5.44
45,28.00,5.17
46,24.84,5.14
47,24.03,5.11
48,24.10,5.17
49,26.96,5.38
50,25.45,5.25
51,25.00,5.23
52,23.88,5.19
53,23.61,5.23
54,26.72,5.48
55,23.81,5.22
56,24.51,5.10
57,25.01,5.12
58,27.97,5.36
59,25.04,5.44
60,24.35,5.33
61,24.25,5.40
62,24.58,5.20
63,25.07,5.26
64,26.88,5.38
65,25.04,5.28
66,24.94,5.08
67,24.49,5.09
68,29.34,5.22
69,25.92,5.38
70,25.18,5.31
71,30.91,5.49
72,24.25,5.25
73,25.87,5.20
74,27.43,5.36
75,25.45,5.26
76,25.36,5.11
77,24.17,5.06
78,25.96,5.16
79,25.89,5.50
80,27.09,5.27
81,26.01,5.19
82,24.07,5.13
83,23.86,5.21
84,26.67,5.38
85,27.16,5.23
86,24.30,5.07
87,25.03,5.08
88,25.54,5.17
89,25.42,5.41
90,24.22,5.23
91,25.30,5.09
92,24.37,5.06
93,25.42,5.17
94,27.18,5.49
95,25.23,5.23
96,25.85,5.26
97,38.04,6.77
98,33.12,5.90
99,30.00,5.59
100,26.19,5.56
101,25.65,5.23
102,25.01,5.38
103,27.90,5.60
104,26.38,5.65
105,27.41,5.51
106,24.43,5.32
107,25.23,5.20
