time,pkg_pwr,ram_pwr
1,25.26,5.60
2,26.85,5.27
3,27.13,5.25
4,24.13,5.14
5,27.33,5.31
6,23.78,5.19
7,24.11,5.12
8,25.11,4.96
9,23.91,4.99
10,25.67,5.30
11,24.10,5.07
12,24.48,5.02
13,24.14,5.06
14,24.33,5.02
15,25.97,5.32
16,24.79,5.16
17,24.42,5.27
18,25.51,5.27
19,24.45,5.17
20,26.22,5.38
21,25.08,5.17
22,24.96,5.06
23,24.11,5.05
24,24.77,5.41
25,27.64,5.48
26,24.59,5.27
27,24.98,5.29
28,23.63,5.15
29,24.02,5.07
30,25.79,5.73
31,29.54,5.73
32,24.77,5.37
33,24.96,5.18
34,24.64,5.10
35,26.71,5.36
36,24.41,5.15
37,37.29,6.50
38,28.63,5.31
39,24.84,5.20
40,24.98,5.25
41,24.76,5.25
42,36.53,6.21
43,25.55,5.38
44,24.22,5.16
45,24.60,5.30
46,28.16,5.50
47,40.38,6.53
48,28.69,5.40
49,23.83,5.09
50,24.77,5.29
51,25.89,5.16
52,25.48,5.01
53,25.63,5.01
54,38.94,5.46
55,40.33,6.79
56,40.39,6.92
57,40.37,6.80
58,40.40,6.92
59,40.39,6.89
60,40.38,6.92
61,40.41,6.83
62,40.27,6.90
63,40.21,6.91
64,40.16,6.92
65,40.16,6.95
66,40.18,6.92
67,40.14,6.98
68,40.19,6.91
69,40.11,6.90
70,40.19,6.92
71,40.12,6.92
72,40.11,6.92
73,40.28,6.92
74,40.26,6.92
75,40.25,6.93
76,40.26,6.91
77,40.32,6.91
78,40.30,6.90
79,40.30,6.94
80,40.24,6.93
81,40.36,6.88
82,40.35,6.89
83,40.25,6.93
84,40.34,6.91
85,40.31,6.89
86,40.32,6.93
87,40.27,6.91
88,40.34,6.94
89,40.40,6.92
90,40.33,6.95
91,40.32,6.93
92,40.36,6.94
93,40.33,6.90
94,40.30,6.93
95,40.37,6.93
96,40.34,6.93
97,40.36,6.93
98,40.40,6.93
99,40.33,6.89
