time,pid,block,byte
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,0,0
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,0,0
0,712387,16,8192
0,712387,16,8192
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,0,0
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,0,0
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,16,8192
0,0,8,4096
0,0,8,4096
0,703929,8,4096
0,703929,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,712387,8,4096
0,712387,0,0
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,16,8192
0,712387,16,8192
0,712387,16,8192
0,712387,0,0
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,0,8,4096
0,703946,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,712387,16,8192
0,712387,0,0
0,712387,16,8192
0,712387,16,8192
0,712387,16,8192
0,712387,16,8192
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,104,53248
0,712387,104,53248
0,712387,104,53248
0,712387,104,53248
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,16,8192
0,712387,16,8192
0,712387,16,8192
0,712387,16,8192
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,0,0
0,712387,16,8192
0,712387,16,8192
0,712387,8,4096
0,712387,8,4096
0,712387,104,53248
0,712387,8,4096
0,712387,24,12288
0,712387,8,4096
0,712387,16,8192
0,712387,16,8192
0,712387,8,4096
0,712387,8,4096
0,712387,104,53248
0,712387,8,4096
0,712387,24,12288
0,712387,8,4096
0,0,16,8192
0,238520,16,8192
0,0,8,4096
0,0,8,4096
0,0,104,53248
0,0,8,4096
0,0,24,12288
0,0,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,0,0
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,0,0
0,782,96,49152
0,782,96,49152
0,0,96,49152
0,782,0,0
0,782,0,0
0,782,0,0
0,808,0,0
0,725496,0,0
0,725496,0,0
0,712386,8,4096
0,712386,8,4096
0,712386,8,4096
0,712386,8,4096
0,808,8,4096
0,704040,8,4096
0,808,0,0
0,704039,0,0
0,704039,0,0
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,0,0
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,0,0
0,712387,16,8192
0,712387,16,8192
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,16,8192
0,712387,16,8192
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712387,8,4096
0,712386,16,8192
0,0,16,8192
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
