time,pkg_pwr,ram_pwr
1,23.05,5.47
2,23.19,5.56
3,22.34,5.21
4,23.01,5.43
5,22.26,5.21
6,23.19,5.77
7,24.86,5.86
8,23.13,5.80
9,23.22,5.85
10,23.46,5.84
11,22.55,5.59
12,23.47,5.72
13,22.97,5.66
14,22.42,5.38
15,22.13,5.17
16,22.62,5.35
17,22.57,5.43
18,22.37,5.29
19,22.26,5.19
20,22.06,5.14
21,22.23,5.30
22,22.80,5.42
23,22.12,5.35
24,22.28,5.37
25,36.30,6.78
26,24.45,5.35
27,23.05,5.52
28,22.35,5.40
29,22.63,5.38
30,22.15,5.33
31,22.12,5.23
32,25.12,5.69
33,30.14,5.95
34,31.27,6.25
35,32.55,6.03
36,22.31,5.43
37,23.21,5.47
38,34.27,6.49
39,40.27,7.04
40,40.37,7.14
41,40.41,7.13
42,40.17,6.85
43,40.06,6.75
44,39.95,6.96
45,39.90,7.05
46,39.89,7.01
47,39.97,6.97
48,39.76,6.99
49,39.76,7.01
50,39.84,6.99
51,39.83,7.03
52,39.97,6.97
53,39.89,7.02
54,39.96,7.04
55,39.94,7.03
56,40.12,7.07
57,40.18,6.86
58,40.25,6.87
59,40.51,7.28
60,40.49,7.27
61,40.44,7.23
62,40.29,6.95
63,40.15,6.76
64,40.18,6.73
65,40.22,6.90
66,40.54,7.26
67,40.29,6.91
68,40.36,6.93
69,40.53,7.19
70,40.46,7.18
71,40.00,7.06
72,39.95,6.41
73,40.13,5.89
74,39.91,6.27
75,39.93,6.47
76,40.09,6.67
77,40.16,6.31
78,39.95,6.21
79,39.92,5.99
80,39.92,5.91
81,40.00,5.88
82,39.96,6.07
83,39.87,6.15
84,39.77,6.39
85,39.74,6.48
86,39.78,6.49
87,39.91,6.74
88,39.87,6.04
89,39.86,5.85
90,39.83,6.26
91,39.71,6.66
92,39.94,6.93
93,40.11,6.99
94,40.03,6.83
95,40.05,6.88
96,40.07,6.79
97,40.06,6.83
98,40.02,6.77
99,40.16,6.82
100,40.12,6.98
101,40.14,6.93
102,40.07,6.77
103,40.02,6.75
104,40.12,6.75
105,40.10,6.62
106,39.75,6.61
107,39.37,6.74
108,40.04,6.81
109,39.99,6.56
110,39.84,5.91
111,39.94,5.92
112,39.98,6.12
113,39.88,5.99
114,39.90,5.93
115,39.91,5.83
116,39.85,5.83
117,40.00,6.12
118,39.92,5.85
119,39.89,5.84
120,39.90,5.81
121,39.88,5.78
122,39.94,6.12
123,39.92,5.95
124,39.95,6.03
125,39.95,5.76
126,39.94,5.77
127,40.05,6.06
128,40.04,5.87
129,40.04,5.88
130,39.97,5.83
131,40.01,5.83
132,40.06,6.02
133,39.98,5.91
134,39.98,5.77
135,40.00,5.85
136,40.02,6.05
137,40.01,6.09
138,40.01,5.95
139,39.98,5.76
140,39.91,6.41
141,39.85,6.42
142,39.89,6.48
143,39.80,6.44
144,39.79,6.37
145,39.93,6.34
146,39.84,6.35
147,39.83,6.47
148,39.82,6.44
149,39.86,6.50
150,39.87,6.59
151,39.82,6.87
152,39.92,6.94
153,39.76,6.69
154,39.69,6.38
155,39.80,6.50
156,39.76,6.45
157,39.80,6.58
158,39.77,6.51
159,39.77,6.45
160,39.81,6.46
161,39.78,6.57
162,39.79,6.50
163,39.76,6.47
164,39.72,6.39
165,39.72,6.42
166,39.72,6.35
167,39.76,6.50
168,39.72,6.31
169,39.78,6.57
170,39.67,6.18
171,39.62,6.85
172,39.81,6.57
173,39.80,6.43
174,39.78,6.59
175,39.72,6.50
176,39.75,6.59
177,39.93,6.37
178,39.81,6.46
179,39.75,6.67
180,39.72,6.49
181,39.67,6.28
182,39.79,6.39
183,39.75,6.31
184,39.85,6.37
185,39.77,6.30
186,39.85,6.57
187,39.77,6.23
188,39.76,6.30
189,39.87,6.52
190,39.75,6.42
191,39.84,6.58
192,39.85,6.51
193,39.85,6.64
194,39.87,6.61
195,39.87,6.68
196,39.82,6.44
197,39.80,6.40
198,39.73,6.30
199,39.65,6.36
200,23.75,5.46
201,22.41,5.35
202,22.64,5.46
203,22.38,5.32
204,38.81,6.41
205,39.85,6.52
206,39.87,6.49
207,39.79,6.56
208,39.70,6.47
209,39.73,6.45
210,39.74,6.37
211,39.79,6.44
212,39.89,6.65
213,39.84,6.09
214,39.86,6.82
215,39.89,6.86
216,39.83,6.88
217,39.78,6.57
218,39.76,6.48
219,39.78,6.49
220,39.77,6.44
221,39.80,6.53
222,39.82,6.52
223,39.76,6.42
224,39.72,6.58
225,39.77,6.45
226,39.73,6.45
227,39.73,6.50
228,39.75,6.45
229,39.68,6.40
230,39.65,6.36
231,39.71,6.53
232,39.79,6.54
233,39.78,6.51
234,39.75,6.43
235,39.78,6.48
236,39.82,6.41
237,39.85,6.51
238,39.96,6.86
239,39.94,6.78
240,39.85,6.85
241,39.86,6.87
242,39.86,6.67
243,39.78,6.45
244,39.73,6.49
245,39.75,6.46
246,39.80,6.53
247,39.84,6.64
248,39.79,6.43
249,39.85,6.45
250,39.87,6.53
251,39.77,6.47
252,39.83,6.52
253,39.79,6.45
254,39.84,6.39
255,39.79,6.43
256,39.82,6.28
257,39.87,6.58
258,39.76,6.42
259,39.76,6.14
260,39.82,6.53
261,39.80,6.43
262,39.89,6.62
263,39.79,6.53
