time,pkg_pwr,ram_pwr
319,43.59,7.18
320,43.53,7.24
321,43.41,7.26
322,43.59,7.21
323,43.43,7.21
324,42.84,7.17
325,43.51,7.18
326,43.37,7.20
327,43.50,7.24
328,43.28,7.22
329,43.49,7.25
330,43.39,7.21
331,43.29,7.21
332,43.42,7.27
333,43.32,7.25
334,43.45,7.19
335,43.59,7.25
336,43.34,7.24
337,43.42,7.16
338,43.40,7.24
339,43.53,7.20
340,43.57,7.24
341,43.21,7.21
342,43.49,7.21
343,43.44,7.21
344,43.48,7.22
345,43.63,7.23
346,43.43,7.18
347,43.50,7.24
348,43.55,7.26
349,43.54,7.20
350,43.56,7.25
351,43.45,7.23
352,43.53,7.24
353,43.57,7.23
354,43.54,7.23
355,43.66,7.23
356,43.48,7.20
357,43.64,7.27
358,43.48,7.24
359,43.54,7.21
360,43.70,7.23
361,43.51,7.17
362,43.64,7.24
363,43.65,7.25
364,43.64,7.27
365,43.55,7.21
366,43.34,7.26
367,43.61,7.28
368,43.54,7.23
369,43.47,7.17
370,43.66,7.20
371,43.37,7.23
372,43.60,7.20
373,43.54,7.24
374,43.54,7.23
375,43.66,7.26
376,43.47,7.22
377,43.63,7.26
378,43.49,7.29
379,43.56,7.26
380,43.62,7.17
381,43.46,7.25
382,43.45,7.26
383,43.24,7.26
384,43.57,7.19
385,43.59,7.23
386,43.46,7.22
387,43.54,7.22
388,43.47,7.23
389,43.52,7.24
390,43.50,7.18
391,43.29,7.24
392,43.54,7.23
393,43.54,7.20
394,43.60,7.24
395,43.49,7.27
396,43.39,7.27
397,43.49,7.19
398,43.56,7.24
399,43.50,7.21
400,43.56,7.23
401,43.50,7.22
402,43.49,7.24
403,43.51,7.22
404,43.71,7.21
405,43.60,7.25
406,43.43,7.23
407,43.64,7.24
408,43.49,7.19
409,43.45,7.17
410,43.50,7.20
411,43.27,7.22
412,43.58,7.19
413,43.54,7.22
414,43.54,7.26
415,43.58,7.24
416,43.42,7.21
417,43.55,7.26
418,43.38,7.16
419,43.57,7.18
420,43.68,7.22
421,43.38,7.22
422,43.52,7.26
423,43.48,7.26
424,43.55,7.24
425,43.67,7.21
426,43.31,7.25
427,43.56,7.22
428,43.40,7.25
429,43.56,7.20
430,43.60,7.21
431,43.35,7.21
432,43.59,7.27
433,43.50,7.18
434,43.58,7.18
435,43.48,7.25
436,43.50,7.27
437,43.56,7.20
438,43.50,7.19
439,43.55,7.27
440,43.65,7.23
441,43.58,7.22
442,43.62,7.22
443,43.46,7.25
444,43.59,7.19
445,43.65,7.26
446,43.48,7.20
447,43.55,7.25
448,43.49,7.27
449,43.54,7.23
450,43.62,7.24
451,43.48,7.21
452,43.49,7.21
453,43.46,7.20
454,43.63,7.22
455,43.51,7.20
456,43.39,7.27
457,43.47,7.25
458,43.45,7.26
459,43.59,7.19
460,43.57,7.22
461,43.38,7.24
462,43.49,7.24
463,43.55,7.18
464,43.56,7.26
465,43.67,7.22
466,43.39,7.24
467,43.53,7.25
468,43.39,7.26
469,43.52,7.27
470,43.62,7.22
471,43.37,7.25
472,43.65,7.22
473,43.56,7.23
474,43.66,7.24
475,43.60,7.22
476,43.44,7.21
477,43.56,7.21
478,43.60,7.22
479,43.52,7.23
480,43.43,7.27
481,43.44,7.21
482,43.62,7.20
483,43.46,7.26
484,43.60,7.27
485,43.58,7.21
486,43.47,7.21
487,43.62,7.26
488,43.50,7.19
489,43.53,7.23
490,43.62,7.22
491,43.43,7.26
492,43.55,7.20
493,43.39,7.26
494,43.46,7.24
495,43.56,7.25
496,43.47,7.25
497,43.43,7.21
498,43.44,7.29
499,43.46,7.21
500,43.61,7.26
501,43.43,7.23
502,43.59,7.24
503,43.59,7.25
504,43.60,7.21
505,43.56,7.29
506,43.44,7.24
507,43.53,7.21
508,43.66,7.22
509,43.43,7.23
510,43.48,7.22
511,43.41,7.19
512,43.53,7.27
513,43.43,7.25
514,43.46,7.15
515,43.55,7.25
516,43.36,7.21
517,43.18,7.21
518,43.23,7.21
519,43.46,7.23
520,43.41,7.27
521,43.35,7.23
522,43.39,7.22
523,43.43,7.21
524,43.55,7.22
525,43.55,7.19
526,43.40,7.24
527,43.56,7.25
528,43.46,7.22
529,43.50,7.22
530,43.51,7.20
531,43.43,7.17
532,43.50,7.25
533,43.46,7.22
534,43.61,7.26
535,43.50,7.25
536,43.42,7.24
537,43.51,7.18
538,43.47,7.21
539,43.63,7.22
540,43.60,7.21
541,43.24,7.24
542,43.49,7.25
543,43.50,7.28
544,43.61,7.22
545,43.58,7.24
546,43.52,7.22
547,43.44,7.25
548,43.29,7.20
549,43.50,7.28
550,43.45,7.22
551,43.35,7.22
552,43.48,7.26
553,43.51,7.25
554,43.52,7.26
555,43.63,7.21
556,43.36,7.23
557,43.55,7.25
558,43.40,7.26
559,43.63,7.24
560,43.51,7.26
561,43.21,7.26
562,43.58,7.25
563,43.65,7.25
564,43.54,7.22
565,43.62,7.20
566,43.44,7.26
567,43.58,7.23
568,43.37,7.23
569,43.58,7.26
570,43.66,7.24
571,43.45,7.22
572,43.46,7.25
573,43.52,7.23
574,43.60,7.22
575,43.72,7.24
576,43.48,7.22
577,43.53,7.25
578,43.42,7.22
579,43.63,7.28
580,43.66,7.24
581,43.14,7.24
582,43.52,7.19
583,43.42,7.19
584,43.65,7.23
585,43.66,7.22
586,43.45,7.17
587,43.57,7.27
588,43.37,7.22
589,43.64,7.24
590,43.63,7.26
591,43.17,7.24
592,43.60,7.22
593,43.53,7.23
594,43.58,7.20
595,43.51,7.25
596,43.41,7.22
597,43.57,7.18
598,43.36,7.27
599,43.46,7.26
600,43.49,7.27
601,43.46,7.31
602,43.58,7.21
603,43.42,7.20
604,43.60,7.18
605,43.56,7.21
606,43.44,7.22
607,43.57,7.26
608,43.43,7.19
609,43.57,7.17
610,43.50,7.21
611,43.45,7.26
612,43.39,7.20
613,43.52,7.27
614,43.47,7.20
615,43.52,7.27
