time,pkg_pwr,ram_pwr
1,CPUID(0):,GenuineIntel
2,CPUID(1):,SSE3
3,CPUID(7):,No-SGX
4,cpu0:,MSR_PLATFORM_INFO:
5,cpu0:,MSR_IA32_POWER_CTL:
6,26,*
7,26,*
8,26,*
9,26,*
10,26,*
11,28,*
12,31,*
13,cpu0:,MSR_CONFIG_TDP_LEVEL_2:
14,cpu0:,MSR_PKG_CST_CONFIG_CONTROL:
15,current_governor:,menu
16,cpu0:,C1:
17,cpu0:,C6:
18,cpufreq,intel_pstate
19,cpu0:,MSR_CORE_PERF_LIMIT_REASONS,
20,cpu0:,MSR_PKG_POWER_INFO:
21,cpu0:,PKG
22,cpu0:,DRAM
23,cpu0:,MSR_IA32_PACKAGE_THERM_INTERRUPT:
24,cpu0:,MSR_PKGC7_IRTL:
25,24.75,5.52
26,24.26,5.28
27,27.15,5.16
28,25.37,5.11
29,25.24,5.35
30,25.51,5.29
31,26.23,5.36
32,24.24,5.15
33,24.72,5.14
34,25.05,5.29
35,28.86,5.72
36,38.36,6.51
37,28.15,5.41
38,26.60,5.25
39,25.20,5.41
40,24.75,5.27
41,25.28,5.13
42,24.83,5.09
43,25.03,5.08
44,25.09,5.42
45,25.70,5.18
46,24.62,5.16
47,25.77,5.14
48,28.06,5.74
49,31.13,5.78
50,24.91,5.53
51,24.79,5.19
52,26.83,5.13
53,24.83,5.18
54,28.13,5.54
55,26.46,5.31
56,28.32,5.47
57,27.42,5.71
58,24.61,5.21
59,26.02,5.42
60,24.98,5.32
61,25.04,5.10
62,24.23,5.24
63,25.07,5.10
64,26.19,5.47
65,26.14,5.33
66,31.61,5.97
67,28.06,5.56
68,27.63,5.34
69,26.20,5.44
70,25.59,5.22
71,24.34,5.13
72,26.94,5.26
73,29.03,5.25
74,28.60,5.50
75,24.33,5.27
76,24.22,5.06
77,24.46,5.08
78,25.24,5.04
79,25.22,5.36
80,24.36,5.26
81,25.63,5.02
82,24.40,5.10
83,26.42,5.38
84,34.01,6.25
85,36.33,5.97
86,28.56,5.29
87,24.11,5.23
88,26.28,5.29
89,27.94,5.51
90,24.38,5.30
91,25.51,5.19
92,25.11,5.11
93,26.57,5.37
94,29.52,5.54
95,26.62,5.27
96,25.86,5.15
97,37.08,6.19
98,27.66,5.48
99,37.85,6.51
100,36.42,6.09
101,28.99,5.81
102,32.65,5.86
103,24.60,5.45
104,36.02,6.29
105,39.97,6.65
106,27.83,5.51
107,24.60,5.19
108,26.24,5.53
109,27.72,5.39
110,27.82,5.86
111,39.93,6.73
112,39.95,6.69
113,40.05,6.74
114,39.97,6.74
