time,pid,block,byte
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,0,0
0,517906,0,0
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,0,0
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,0,0
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,517906,8,4096
0,517906,0,0
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,0,0
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,517906,8,4096
0,517906,0,0
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,40,20480
0,517906,40,20480
0,517906,40,20480
0,517906,40,20480
0,517906,56,28672
0,517906,56,28672
0,517906,56,28672
0,517906,56,28672
0,517906,32,16384
0,517906,32,16384
0,517906,32,16384
0,517906,32,16384
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,0,0
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,8,4096
0,517906,40,20480
0,517906,88,45056
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,40,20480
0,808,88,45056
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,40,20480
0,0,88,45056
0,517906,8,4096
0,517906,0,0
0,517906,0,0
0,517906,8,4096
0,517906,8,4096
0,0,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,0,0
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,8,4096
0,782,0,0
0,782,104,53248
0,782,104,53248
0,0,104,53248
0,782,0,0
0,782,0,0
0,782,0,0
0,808,0,0
0,485934,0,0
0,485934,0,0
0,520312,8,4096
0,520312,8,4096
0,520312,8,4096
0,520312,8,4096
0,808,8,4096
0,526712,8,4096
0,808,0,0
0,482779,0,0
0,482779,0,0
5,782,8,4096
5,782,8,4096
5,782,8,4096
5,782,8,4096
5,782,0,0
5,782,8,4096
5,782,8,4096
5,782,8,4096
5,782,8,4096
5,782,8,4096
5,782,8,4096
5,782,8,4096
5,782,8,4096
5,782,0,0
5,782,24,12288
5,782,24,12288
5,485912,24,12288
5,782,0,0
5,782,0,0
5,782,0,0
5,808,0,0
5,0,0,0
5,0,0,0
5,520312,8,4096
5,520312,8,4096
5,520312,8,4096
5,520312,8,4096
5,808,8,4096
5,0,8,4096
5,808,0,0
5,526712,0,0
5,526712,0,0
10,782,8,4096
10,782,8,4096
10,782,8,4096
10,782,8,4096
10,782,0,0
10,782,8,4096
10,782,8,4096
10,782,8,4096
10,782,8,4096
10,782,8,4096
10,782,8,4096
10,782,8,4096
10,782,8,4096
10,782,0,0
10,782,24,12288
10,782,24,12288
10,485912,24,12288
10,782,0,0
10,782,0,0
10,782,0,0
10,808,0,0
10,526712,0,0
10,526712,0,0
10,520312,8,4096
10,520312,8,4096
10,520312,8,4096
10,520312,8,4096
10,808,8,4096
10,526712,8,4096
10,808,0,0
10,482779,0,0
10,482779,0,0
15,782,8,4096
15,782,8,4096
15,782,8,4096
15,782,8,4096
15,782,0,0
15,782,8,4096
15,782,8,4096
15,782,8,4096
15,782,8,4096
15,782,8,4096
15,782,8,4096
15,782,8,4096
15,782,8,4096
15,782,0,0
15,782,24,12288
15,782,24,12288
15,485912,24,12288
15,782,0,0
15,782,0,0
15,782,0,0
15,808,0,0
15,0,0,0
15,0,0,0
15,520312,8,4096
15,520312,8,4096
15,520312,8,4096
15,520312,8,4096
15,808,8,4096
15,0,8,4096
15,808,0,0
15,465034,0,0
15,465034,0,0
20,782,8,4096
20,782,8,4096
20,782,8,4096
20,782,8,4096
20,782,0,0
20,782,8,4096
20,782,8,4096
20,782,8,4096
20,782,8,4096
20,782,8,4096
20,782,8,4096
20,782,8,4096
20,782,8,4096
20,782,8,4096
20,782,8,4096
20,782,8,4096
20,782,8,4096
20,782,8,4096
20,782,8,4096
20,782,8,4096
20,782,8,4096
20,782,8,4096
20,782,8,4096
20,782,8,4096
20,782,8,4096
20,782,8,4096
20,782,8,4096
20,782,8,4096
20,782,8,4096
20,782,8,4096
