time,pid,count,event
0,629338,106,LLC-load-misses
0,88546,84,LLC-load-misses
0,630151,77,LLC-load-misses
0,648037,69,LLC-load-misses
0,648040,65,LLC-load-misses
0,629342,56,LLC-load-misses
0,629340,54,LLC-load-misses
0,629339,52,LLC-load-misses
0,648052,48,LLC-load-misses
0,629341,38,LLC-load-misses
0,648053,38,LLC-load-misses
0,629353,32,LLC-load-misses
0,629355,27,LLC-load-misses
0,90240,19,LLC-load-misses
0,647972,14,LLC-load-misses
0,629354,13,LLC-load-misses
0,465034,5,LLC-load-misses
0,629121,5,LLC-load-misses
0,648051,5,LLC-load-misses
0,42066,4,LLC-load-misses
0,465020,4,LLC-load-misses
0,311,3,LLC-load-misses
0,90239,3,LLC-load-misses
0,465016,2,LLC-load-misses
0,465018,2,LLC-load-misses
0,465022,2,LLC-load-misses
0,310,1,LLC-load-misses
0,238520,1,LLC-load-misses
0,465012,1,LLC-load-misses
0,465017,1,LLC-load-misses
0,465030,1,LLC-load-misses
0,465032,1,LLC-load-misses
0,629122,1,LLC-load-misses
0,629123,1,LLC-load-misses
0,648437,1,LLC-load-misses
0,648767,1,LLC-load-misses
0,648761,233080,LLC-loads
0,648052,180052,LLC-loads
0,629354,157013,LLC-loads
0,629353,55138,LLC-loads
0,648051,40132,LLC-loads
0,648029,19395,LLC-loads
0,629101,10891,LLC-loads
0,629331,6014,LLC-loads
0,629137,4556,LLC-loads
0,465034,4391,LLC-loads
0,648040,4165,LLC-loads
0,42066,2991,LLC-loads
0,629124,2517,LLC-loads
0,647972,2430,LLC-loads
0,629342,1903,LLC-loads
0,104332,1053,LLC-loads
0,647531,1009,LLC-loads
0,648767,898,LLC-loads
0,629338,855,LLC-loads
0,238520,606,LLC-loads
0,648037,588,LLC-loads
0,648437,588,LLC-loads
0,648763,487,LLC-loads
0,465059,473,LLC-loads
0,15,465,LLC-loads
0,90240,398,LLC-loads
0,629121,394,LLC-loads
0,465033,336,LLC-loads
0,104341,333,LLC-loads
0,465030,323,LLC-loads
0,90239,241,LLC-loads
0,647539,237,LLC-loads
0,629339,235,LLC-loads
0,648038,156,LLC-loads
0,630151,155,LLC-loads
0,648053,154,LLC-loads
0,465031,152,LLC-loads
0,465032,152,LLC-loads
0,629340,149,LLC-loads
0,629355,146,LLC-loads
0,465022,137,LLC-loads
0,629341,131,LLC-loads
0,88546,130,LLC-loads
0,648039,111,LLC-loads
0,465018,109,LLC-loads
0,465020,108,LLC-loads
0,311,85,LLC-loads
0,310,83,LLC-loads
0,465019,75,LLC-loads
0,648036,71,LLC-loads
0,465016,69,LLC-loads
0,629122,56,LLC-loads
0,465023,55,LLC-loads
0,465017,54,LLC-loads
0,465014,53,LLC-loads
0,465012,52,LLC-loads
0,465021,47,LLC-loads
0,629123,46,LLC-loads
0,648761,53,LLC-store-misses
0,629353,2,LLC-store-misses
0,648761,15609,LLC-stores
0,648052,12167,LLC-stores
0,629354,9750,LLC-stores
0,629353,2124,LLC-stores
1,629137,71291384,cycles
1,648761,50279635,cycles
1,648052,28686371,cycles
1,629354,24001783,cycles
1,629353,10003439,cycles
1,629101,1947033,cycles
1,14,823296,cycles
1,648040,680750,cycles
1,465034,616904,cycles
1,42066,453793,cycles
1,647972,405917,cycles
1,629342,397712,cycles
1,15,229631,cycles
1,648762,158997,cycles
1,647539,131821,cycles
1,629121,131438,cycles
1,647531,124530,cycles
1,648039,97487,cycles
1,648767,93720,cycles
1,238520,72120,cycles
1,648437,66699,cycles
1,465059,64387,cycles
1,465033,60990,cycles
1,648763,60158,cycles
1,104341,55378,cycles
1,465030,52013,cycles
1,629124,46204,cycles
1,465024,37350,cycles
1,465054,35614,cycles
1,465031,30138,cycles
1,465032,30115,cycles
1,465045,26573,cycles
1,510801,21532,cycles
1,629355,20995,cycles
1,648037,19985,cycles
1,648036,17899,cycles
1,629122,15655,cycles
1,87481,15512,cycles
1,629123,15264,cycles
1,648038,15066,cycles
1,484037,14509,cycles
1,465018,13238,cycles
1,465022,11356,cycles
1,465014,9777,cycles
1,465016,8614,cycles
1,465012,8409,cycles
1,465023,7662,cycles
1,629137,89408535,instructions
1,648761,44029637,instructions
1,648052,17311798,instructions
1,629354,16218771,instructions
1,629353,6452630,instructions
1,14,1243189,instructions
1,648029,772045,instructions
1,629101,764434,instructions
1,648040,344381,instructions
1,465034,262549,instructions
1,42066,220951,instructions
1,15,164184,instructions
1,647972,162283,instructions
1,629342,153987,instructions
1,647539,115095,instructions
1,629121,114517,instructions
1,647531,100718,instructions
1,648039,68776,instructions
1,648762,49378,instructions
1,648767,37308,instructions
1,648437,36526,instructions
1,238520,36407,instructions
1,648763,32662,instructions
1,465059,26580,instructions
1,465030,24007,instructions
1,104341,20379,instructions
1,629124,20216,instructions
1,465033,19733,instructions
1,465032,19293,instructions
1,465031,19243,instructions
1,629122,10085,instructions
1,629123,10085,instructions
1,648037,9452,instructions
1,648036,9397,instructions
1,648038,9338,instructions
1,465024,9097,instructions
1,484037,8510,instructions
1,465054,7994,instructions
1,465045,7987,instructions
1,465014,7234,instructions
1,465022,7168,instructions
1,87481,7103,instructions
1,510801,6960,instructions
1,465012,5643,instructions
1,465016,5618,instructions
1,465023,5612,instructions
1,465018,5589,instructions
1,629137,104866935,ref-cycles
1,648761,50382243,ref-cycles
1,629354,29851983,ref-cycles
1,648052,29426121,ref-cycles
1,629353,9656067,ref-cycles
1,629101,2047161,ref-cycles
1,648029,1856261,ref-cycles
1,14,859303,ref-cycles
1,465034,795087,ref-cycles
1,648040,747086,ref-cycles
1,629342,573528,ref-cycles
1,647972,495857,ref-cycles
1,42066,453790,ref-cycles
1,15,264799,ref-cycles
1,647539,219190,ref-cycles
1,647531,195638,ref-cycles
1,648767,161690,ref-cycles
1,648762,158999,ref-cycles
1,629121,131445,ref-cycles
1,648763,109710,ref-cycles
1,648437,98003,ref-cycles
1,648039,97497,ref-cycles
1,238520,95059,ref-cycles
1,465030,79856,ref-cycles
1,465059,64400,ref-cycles
1,104341,62997,ref-cycles
1,465033,60996,ref-cycles
1,629124,46207,ref-cycles
1,648037,38318,ref-cycles
1,465024,37352,ref-cycles
1,465054,35604,ref-cycles
1,465031,30153,ref-cycles
1,465032,30130,ref-cycles
1,87481,29739,ref-cycles
1,484037,27807,ref-cycles
1,465045,26588,ref-cycles
1,465018,25369,ref-cycles
1,465022,21781,ref-cycles
1,510801,21551,ref-cycles
1,465014,18745,ref-cycles
1,648036,17894,ref-cycles
1,465016,16514,ref-cycles
1,465012,16123,ref-cycles
1,629122,15663,ref-cycles
1,629123,15272,ref-cycles
1,648038,15065,ref-cycles
1,465023,14697,ref-cycles
1,629137,86094,LLC-load-misses
1,648761,7065,LLC-load-misses
1,647539,1318,LLC-load-misses
1,629101,966,LLC-load-misses
1,647531,923,LLC-load-misses
1,648029,782,LLC-load-misses
1,648040,296,LLC-load-misses
1,648762,234,LLC-load-misses
1,629121,167,LLC-load-misses
1,629342,163,LLC-load-misses
1,648039,129,LLC-load-misses
1,465054,90,LLC-load-misses
1,42066,85,LLC-load-misses
1,465024,78,LLC-load-misses
1,510801,66,LLC-load-misses
1,465045,64,LLC-load-misses
1,484037,53,LLC-load-misses
1,14,52,LLC-load-misses
1,647972,50,LLC-load-misses
1,87481,45,LLC-load-misses
1,648052,37,LLC-load-misses
1,629354,27,LLC-load-misses
1,465022,19,LLC-load-misses
1,648051,18,LLC-load-misses
1,629353,17,LLC-load-misses
1,465018,14,LLC-load-misses
1,465016,13,LLC-load-misses
1,465059,13,LLC-load-misses
1,465034,12,LLC-load-misses
1,465033,11,LLC-load-misses
1,465012,10,LLC-load-misses
1,465014,10,LLC-load-misses
1,648767,10,LLC-load-misses
1,465023,9,LLC-load-misses
1,465031,9,LLC-load-misses
1,465032,9,LLC-load-misses
1,629124,8,LLC-load-misses
1,465030,7,LLC-load-misses
1,648037,7,LLC-load-misses
1,629122,6,LLC-load-misses
1,104341,5,LLC-load-misses
1,648038,5,LLC-load-misses
1,629123,4,LLC-load-misses
1,238520,3,LLC-load-misses
1,648763,3,LLC-load-misses
1,648437,2,LLC-load-misses
1,15,1,LLC-load-misses
1,648036,1,LLC-load-misses
1,629137,708194,LLC-loads
1,648761,262674,LLC-loads
1,629354,206771,LLC-loads
1,648052,198131,LLC-loads
1,648051,44388,LLC-loads
1,629353,40621,LLC-loads
1,629101,21944,LLC-loads
1,648029,19094,LLC-loads
1,648040,6677,LLC-loads
1,14,5423,LLC-loads
1,465034,5213,LLC-loads
1,42066,4932,LLC-loads
1,629342,3722,LLC-loads
1,647972,3120,LLC-loads
1,647539,2351,LLC-loads
1,629121,2094,LLC-loads
1,647531,1244,LLC-loads
1,15,967,LLC-loads
1,648767,928,LLC-loads
1,648762,919,LLC-loads
1,465059,646,LLC-loads
1,238520,626,LLC-loads
1,648437,580,LLC-loads
1,648763,578,LLC-loads
1,648039,568,LLC-loads
1,104341,542,LLC-loads
1,465033,487,LLC-loads
1,629124,314,LLC-loads
1,465030,272,LLC-loads
1,465032,244,LLC-loads
1,465024,242,LLC-loads
1,465031,229,LLC-loads
1,465054,195,LLC-loads
1,648037,160,LLC-loads
1,465045,158,LLC-loads
1,87481,144,LLC-loads
1,484037,124,LLC-loads
1,465018,106,LLC-loads
1,510801,104,LLC-loads
1,465022,101,LLC-loads
1,648036,100,LLC-loads
1,629123,99,LLC-loads
1,629122,90,LLC-loads
1,648038,71,LLC-loads
1,465014,69,LLC-loads
1,465023,57,LLC-loads
1,465012,53,LLC-loads
1,465016,47,LLC-loads
1,629137,6650,LLC-store-misses
1,648761,29,LLC-store-misses
1,648052,6,LLC-store-misses
1,629354,3,LLC-store-misses
1,629137,17580,LLC-stores
1,648052,11931,LLC-stores
1,648761,9925,LLC-stores
1,629354,9061,LLC-stores
1,648761,36164147,cycles
1,629354,17148111,cycles
1,648052,15180674,cycles
1,648051,4443758,cycles
1,629101,1915589,cycles
1,648040,710303,cycles
1,647972,629197,cycles
1,465034,494924,cycles
1,42066,448886,cycles
1,629342,424943,cycles
1,647531,247618,cycles
1,648038,152067,cycles
1,648036,129988,cycles
1,648037,125583,cycles
1,648767,121201,cycles
1,90240,91088,cycles
1,15,87607,cycles
1,629123,87146,cycles
1,647539,80521,cycles
1,648039,78571,cycles
1,648763,77826,cycles
1,238520,66722,cycles
1,648437,62205,cycles
1,465033,61901,cycles
1,465059,61092,cycles
1,629121,58304,cycles
1,465030,55967,cycles
1,465049,55523,cycles
1,647691,54251,cycles
1,922,46972,cycles
1,465031,31279,cycles
1,90239,29685,cycles
1,465032,29274,cycles
1,510689,28572,cycles
1,629122,28070,cycles
1,629124,27492,cycles
1,465046,26844,cycles
1,465020,21481,cycles
1,87482,18692,cycles
1,911,14339,cycles
1,465019,13915,cycles
