time,pkg_pwr,ram_pwr
319,40.02,6.58
320,39.98,6.43
321,39.89,6.44
322,40.08,6.54
323,39.91,6.30
324,40.08,6.62
325,39.98,6.44
326,40.01,6.41
327,40.07,6.53
328,39.95,6.31
329,40.05,6.51
330,40.09,6.61
331,40.00,6.55
332,39.79,6.01
333,40.06,6.61
334,40.00,6.31
335,39.86,6.39
336,39.64,5.64
337,39.90,6.17
338,39.93,6.39
339,40.03,6.51
340,39.82,6.16
341,40.08,6.65
342,39.99,6.43
343,40.02,6.48
344,39.95,6.20
345,40.01,6.53
346,40.11,6.64
347,40.00,6.35
348,40.03,6.47
349,39.92,6.38
350,40.04,6.58
351,39.81,5.96
352,39.95,6.12
353,39.99,6.38
354,39.99,6.37
355,39.98,6.33
356,39.99,6.62
357,39.85,6.30
358,40.16,6.77
359,39.97,6.26
360,40.22,6.59
361,39.98,6.22
362,39.89,6.09
363,39.98,6.38
364,40.10,6.52
365,40.02,6.41
366,40.15,6.68
367,39.95,6.22
368,40.15,6.67
369,40.19,6.57
370,40.08,6.42
371,35.69,5.76
372,30.70,6.26
373,38.53,6.65
374,40.31,6.84
375,39.29,6.72
376,40.07,6.38
377,40.06,6.28
378,40.04,6.41
379,39.93,6.10
380,40.01,6.49
381,39.83,6.00
382,39.98,6.28
383,40.00,6.42
384,40.03,6.43
385,39.92,6.39
386,39.72,5.83
387,40.04,6.39
388,40.01,6.30
389,40.15,6.59
390,40.04,6.44
391,40.07,6.69
392,39.94,6.39
393,40.07,6.63
394,39.87,6.22
395,40.10,6.63
396,39.90,6.34
397,39.90,6.25
398,39.91,6.39
399,39.97,6.51
400,39.86,6.43
401,39.86,6.31
402,39.86,6.45
403,39.93,6.53
404,39.91,6.41
405,39.95,6.62
406,39.90,6.42
407,39.98,6.62
408,39.89,6.39
409,40.05,6.57
410,39.85,6.49
411,39.94,6.48
412,39.93,6.47
413,39.87,6.37
414,39.93,6.53
415,39.92,6.42
416,40.08,6.73
417,39.89,6.29
418,40.08,6.68
419,39.87,6.20
420,40.10,6.72
421,39.93,6.34
422,39.95,6.31
423,39.97,6.34
424,40.00,6.59
425,39.88,6.39
426,39.66,5.71
427,39.86,6.22
428,39.94,6.36
429,39.99,6.46
430,39.95,6.40
431,39.81,6.12
432,40.09,6.70
433,39.97,6.28
434,40.09,6.65
435,40.04,6.40
436,40.08,6.53
437,39.96,6.47
438,40.10,6.56
439,39.96,6.39
440,39.91,6.39
441,40.02,6.50
442,39.86,6.10
443,40.06,6.44
444,40.01,6.36
445,39.61,5.56
446,40.03,6.69
447,39.88,6.34
448,40.07,6.70
449,39.89,6.36
450,40.00,6.57
451,39.97,6.68
452,38.73,6.80
453,40.15,6.74
454,36.33,6.67
455,39.92,6.78
456,38.60,6.86
457,37.89,6.64
458,40.16,6.89
459,37.83,6.75
460,40.09,6.77
461,39.48,6.88
462,39.57,6.83
463,40.19,6.85
464,39.37,6.82
465,40.12,6.76
466,31.13,6.43
467,40.20,6.79
468,36.11,6.76
469,40.34,6.85
470,38.56,6.84
471,40.24,6.85
472,40.30,6.97
473,40.24,6.92
474,38.42,6.76
475,40.24,6.85
476,40.40,7.00
477,40.28,6.87
478,39.40,6.89
479,40.23,6.81
480,35.49,6.56
481,40.27,6.82
482,40.42,7.03
483,40.26,6.88
484,40.33,6.92
485,40.12,6.87
486,39.94,6.51
487,40.07,6.68
488,39.90,6.47
489,39.76,6.12
490,40.19,6.95
491,39.87,6.48
492,40.01,6.64
493,39.93,6.41
494,39.81,6.25
495,40.14,6.83
496,39.90,6.48
497,39.96,6.61
498,39.88,6.44
499,40.03,6.50
500,40.10,6.69
501,40.05,6.43
502,40.04,6.58
503,39.94,6.43
504,40.00,6.48
505,39.94,6.64
506,39.82,6.47
507,39.94,6.74
508,39.84,6.45
509,39.64,5.88
510,39.49,5.58
511,40.15,6.76
512,39.91,6.46
513,39.48,5.54
514,40.16,6.84
515,39.93,6.45
516,39.55,5.64
517,39.85,6.08
518,39.91,6.48
519,39.93,6.31
520,40.16,6.80
521,39.98,6.44
522,39.91,6.40
523,40.06,6.75
524,39.93,6.41
525,40.05,6.68
526,39.89,6.49
527,39.98,6.42
528,39.77,5.90
529,39.98,6.57
530,39.98,6.44
531,40.01,6.64
532,39.96,6.40
533,39.92,6.26
534,40.07,6.86
535,39.95,6.44
536,39.57,5.69
537,40.03,6.59
538,39.93,6.37
539,39.89,6.34
540,40.06,6.81
541,39.90,6.46
542,40.13,6.79
543,39.93,6.43
544,39.93,6.24
545,40.16,6.91
546,39.94,6.42
547,40.06,6.66
548,40.08,6.58
549,39.92,6.41
550,39.91,6.28
551,40.00,6.57
552,39.91,6.38
553,39.95,6.49
554,39.89,6.52
555,39.96,6.49
556,40.07,6.78
557,39.90,6.44
558,39.88,6.33
559,40.05,6.74
560,39.89,6.43
561,39.66,5.68
562,40.18,6.78
563,39.97,6.40
564,39.88,6.28
565,40.02,6.47
566,39.92,6.43
567,39.82,6.38
568,40.07,6.80
569,39.87,6.42
570,39.88,6.35
571,40.12,6.80
572,39.94,6.42
573,40.11,6.72
574,40.03,6.51
575,39.28,6.63
576,40.37,7.02
577,38.72,6.46
578,39.62,7.06
579,39.92,6.61
580,40.04,6.52
581,39.99,6.66
582,39.85,6.40
583,39.96,6.73
584,39.85,6.56
585,39.84,6.47
586,39.45,5.48
587,39.95,6.45
588,39.92,6.44
589,39.86,6.34
590,40.10,6.74
591,39.88,6.44
592,39.80,6.40
593,40.02,6.57
594,39.93,6.43
595,39.99,6.48
596,39.47,5.42
