time,pkg_pwr,ram_pwr
319,40.02,6.07
320,40.01,6.05
321,40.06,6.28
322,40.08,6.21
323,40.02,6.05
324,40.04,6.12
325,40.02,6.11
326,40.04,6.25
327,40.02,6.12
328,40.00,6.06
329,39.98,6.07
330,40.01,6.05
331,40.07,6.26
332,40.03,6.10
333,40.02,6.00
334,39.96,6.04
335,39.98,6.11
336,39.98,6.26
337,39.94,6.17
338,39.95,6.03
339,39.94,6.06
340,40.00,6.11
341,39.92,6.26
342,39.95,6.07
343,39.93,5.97
344,39.91,6.04
345,39.93,6.06
346,39.94,6.20
347,39.90,6.09
348,39.88,5.92
349,39.87,5.92
350,39.86,5.99
351,39.94,6.15
352,39.94,6.01
353,39.88,5.99
354,39.89,5.95
355,39.93,6.00
356,39.93,6.14
357,39.92,6.04
358,39.91,5.90
359,39.89,5.91
360,39.91,6.03
361,39.91,6.14
362,39.85,5.99
363,39.89,5.88
364,39.89,6.00
365,39.87,5.98
366,39.89,6.12
367,39.86,5.97
368,39.85,5.86
369,39.56,7.07
370,40.55,7.48
371,40.58,7.45
372,40.64,7.52
373,40.25,7.25
374,40.16,7.08
375,40.04,7.00
376,40.04,7.08
377,40.31,7.40
378,40.23,7.26
379,40.21,7.15
380,40.26,7.35
381,40.30,7.53
382,40.24,7.30
383,40.39,7.39
384,40.59,7.62
385,41.17,8.04
386,41.21,8.11
387,41.59,8.46
388,41.45,8.48
389,39.79,7.06
390,39.90,7.11
391,40.21,7.44
392,40.29,7.66
393,40.32,7.87
394,40.37,7.90
395,40.31,7.84
396,40.32,7.88
397,40.35,7.87
398,40.31,7.88
399,40.26,7.86
400,40.32,7.88
401,40.22,7.90
402,40.23,7.89
403,40.32,7.90
404,40.27,7.88
405,40.35,7.88
406,40.31,7.92
407,40.26,7.87
408,40.38,7.91
409,40.35,8.26
410,40.35,8.69
411,40.38,8.77
412,40.34,8.82
413,40.38,8.79
414,40.43,8.76
415,40.41,8.66
416,40.42,8.77
417,40.48,8.74
418,40.43,8.77
419,40.47,8.78
420,40.38,8.68
421,40.44,8.77
422,40.38,8.78
423,40.42,8.75
424,40.46,8.74
425,40.47,8.72
426,40.42,8.73
