time,pkg_pwr,ram_pwr
1,28.59,5.66
2,28.11,5.32
3,28.24,5.26
4,25.56,5.11
5,26.03,5.69
6,25.14,5.27
7,24.29,5.12
8,25.28,5.06
9,25.56,5.03
10,26.28,5.27
11,26.01,5.16
12,25.35,5.03
13,23.51,5.06
14,23.87,5.06
15,26.36,5.25
16,25.33,5.25
17,24.10,5.17
18,23.24,5.09
19,24.26,5.03
20,26.61,5.24
21,24.64,5.17
22,25.07,5.05
23,25.18,5.01
24,23.58,4.95
25,26.27,5.29
26,25.45,5.18
27,24.79,5.09
28,24.55,5.03
29,24.96,4.99
30,26.78,5.22
31,25.53,5.17
32,23.32,5.10
33,25.40,5.11
34,24.15,5.03
35,25.99,5.29
36,26.58,5.23
37,25.36,5.11
38,24.24,5.05
39,24.42,5.02
40,25.03,5.30
41,25.19,5.32
42,24.53,5.09
43,25.64,5.09
44,23.90,5.00
45,25.98,5.46
46,24.87,5.21
47,23.44,5.12
48,25.57,5.08
49,24.52,5.02
50,24.41,5.22
51,25.49,5.16
52,24.56,5.08
53,24.07,5.06
54,23.66,5.01
55,24.98,5.28
56,26.34,5.22
57,24.48,5.11
58,23.90,5.07
59,23.59,5.01
60,24.27,5.31
61,24.71,5.14
62,25.07,5.09
63,25.31,5.03
64,24.25,5.03
65,25.08,5.30
66,24.46,5.18
67,25.12,5.02
68,25.38,5.11
69,24.22,5.07
70,26.21,5.29
71,25.60,5.18
72,25.36,5.09
73,24.98,5.11
74,24.51,5.05
75,25.69,5.38
76,24.06,5.23
77,25.28,5.07
78,23.67,5.04
79,23.76,4.97
80,25.95,5.25
81,24.18,5.11
82,24.27,5.01
83,24.92,4.99
84,24.45,4.92
85,24.51,5.24
86,24.81,5.08
87,24.04,5.06
88,23.39,5.06
89,25.57,4.99
90,25.78,5.27
91,25.62,5.14
92,24.85,5.12
93,24.15,5.07
94,24.68,5.03
95,24.57,5.23
96,24.71,5.13
97,24.21,5.08
98,25.34,5.08
99,25.38,5.01
100,25.61,5.25
101,25.61,5.14
102,24.43,5.08
103,24.00,5.04
104,24.20,5.00
105,26.55,5.24
106,27.08,5.18
107,25.10,5.07
108,24.11,5.12
109,24.31,5.07
110,25.23,5.24
111,24.18,5.20
112,24.19,5.02
113,24.04,5.09
114,24.31,5.01
115,26.70,5.22
116,24.50,5.22
117,23.78,5.08
118,25.31,5.05
119,24.95,5.01
120,26.80,5.29
121,24.96,5.10
122,27.67,5.49
123,28.22,5.44
124,24.38,5.13
125,25.83,5.28
126,23.99,5.19
127,25.24,5.09
128,24.97,5.04
129,24.44,5.08
130,26.17,5.25
131,27.10,5.18
