time,pid,block,byte
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,0,0
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,16,8192
0,1004955,16,8192
0,1004955,16,8192
0,1004955,0,0
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,1000273,8,4096
0,0,8,4096
0,1004955,16,8192
0,1004955,0,0
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,16,8192
0,1004955,16,8192
0,1004955,16,8192
0,1004955,16,8192
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,0,0
0,1004955,16,8192
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,16,8192
0,1004955,8,4096
0,808,16,8192
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,16,8192
0,808,8,4096
0,0,16,8192
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,16,8192
0,0,8,4096
0,1004955,8,4096
0,1004955,0,0
0,1004955,16,8192
0,1004955,16,8192
0,1004955,16,8192
0,1004955,16,8192
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,0,0
0,1004955,8,4096
0,1004955,16,8192
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,808,8,4096
0,808,16,8192
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,0,8,4096
0,0,16,8192
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,1004955,8,4096
0,1004955,0,0
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,8,4096
0,1004955,24,12288
0,1004955,24,12288
0,1004955,24,12288
0,1004955,24,12288
0,1004955,104,53248
0,1004955,104,53248
0,1004955,104,53248
0,1004955,104,53248
0,1004955,24,12288
0,1004955,24,12288
0,1004955,24,12288
0,1004955,24,12288
0,1004955,8,4096
