time,id,power
2023-02-02 08:36:42.232922,0,120.1
2023-02-02 08:36:43.239832,1,98.4
2023-02-02 08:36:44.231896,2,98.4
2023-02-02 08:36:45.239859,3,98.2
2023-02-02 08:36:46.232322,4,98.2
2023-02-02 08:36:47.239132,5,98.3
2023-02-02 08:36:48.231981,6,98.4
2023-02-02 08:36:49.238595,7,98.3
2023-02-02 08:36:50.231707,8,97.9
2023-02-02 08:36:51.238953,9,97.8
2023-02-02 08:36:52.230844,10,97.9
2023-02-02 08:36:53.237286,11,98.3
2023-02-02 08:36:54.244849,12,98.9
2023-02-02 08:36:55.235976,13,99.1
2023-02-02 08:36:56.244115,14,109.6
2023-02-02 08:36:57.237071,15,109.3
2023-02-02 08:36:58.244427,16,101.6
2023-02-02 08:36:59.237006,17,101.0
2023-02-02 08:37:00.243844,18,100.4
2023-02-02 08:37:01.236325,19,100.1
2023-02-02 08:37:02.243288,20,99.7
2023-02-02 08:37:03.235615,21,100.2
2023-02-02 08:37:04.242681,22,100.7
2023-02-02 08:37:05.233042,23,100.2
2023-02-02 08:37:06.240372,24,95.0
2023-02-02 08:37:07.248613,25,125.0
2023-02-02 08:37:08.241341,26,108.8
2023-02-02 08:37:09.248570,27,99.9
2023-02-02 08:37:10.241086,28,121.9
2023-02-02 08:37:11.248617,29,101.6
2023-02-02 08:37:12.239263,30,101.3
2023-02-02 08:37:13.247868,31,101.8
2023-02-02 08:37:14.239497,32,102.0
2023-02-02 08:37:15.247302,33,130.4
2023-02-02 08:37:16.239221,34,130.6
2023-02-02 08:37:17.246545,35,130.8
2023-02-02 08:37:18.253512,36,130.9
2023-02-02 08:37:19.245932,37,131.0
2023-02-02 08:37:20.253235,38,130.9
2023-02-02 08:37:21.245255,39,130.7
2023-02-02 08:37:22.253162,40,130.7
2023-02-02 08:37:23.248562,41,130.7
2023-02-02 08:37:24.252433,42,130.7
2023-02-02 08:37:25.244209,43,130.8
2023-02-02 08:37:26.251820,44,130.9
2023-02-02 08:37:27.258491,45,131.1
2023-02-02 08:37:28.251399,46,131.2
2023-02-02 08:37:29.259932,47,131.3
2023-02-02 08:37:30.250546,48,131.8
2023-02-02 08:37:31.258409,49,132.2
2023-02-02 08:37:32.250359,50,132.4
2023-02-02 08:37:33.257557,51,132.6
2023-02-02 08:37:34.249573,52,132.9
2023-02-02 08:37:35.257259,53,133.1
2023-02-02 08:37:36.249146,54,133.3
2023-02-02 08:37:37.256960,55,133.5
2023-02-02 08:37:38.263777,56,133.6
2023-02-02 08:37:39.256329,57,133.7
2023-02-02 08:37:40.263406,58,133.8
2023-02-02 08:37:41.255650,59,133.9
2023-02-02 08:37:42.262550,60,134.1
2023-02-02 08:37:43.254955,61,134.3
2023-02-02 08:37:44.262500,62,134.4
2023-02-02 08:37:45.254544,63,134.3
2023-02-02 08:37:46.262085,64,134.5
2023-02-02 08:37:47.268669,65,134.5
2023-02-02 08:37:48.261408,66,134.6
2023-02-02 08:37:49.268595,67,134.6
2023-02-02 08:37:50.260938,68,134.7
2023-02-02 08:37:51.267672,69,134.6
2023-02-02 08:37:52.260474,70,134.5
2023-02-02 08:37:53.267501,71,134.5
2023-02-02 08:37:54.259795,72,134.5
2023-02-02 08:37:55.267483,73,134.2
2023-02-02 08:37:56.259372,74,133.8
2023-02-02 08:37:57.266840,75,133.8
2023-02-02 08:37:58.273629,76,133.6
2023-02-02 08:37:59.266378,77,133.3
2023-02-02 08:38:00.272846,78,133.2
2023-02-02 08:38:01.265587,79,133.1
2023-02-02 08:38:02.272491,80,132.8
2023-02-02 08:38:03.265099,81,133.0
2023-02-02 08:38:04.272515,82,132.8
2023-02-02 08:38:05.264617,83,132.5
2023-02-02 08:38:06.272157,84,132.2
2023-02-02 08:38:07.278906,85,132.5
2023-02-02 08:38:08.271721,86,132.8
2023-02-02 08:38:09.263817,87,133.0
2023-02-02 08:38:10.271162,88,133.1
2023-02-02 08:38:11.277763,89,133.3
2023-02-02 08:38:12.270529,90,133.4
2023-02-02 08:38:13.277673,91,133.6
2023-02-02 08:38:14.270109,92,133.7
2023-02-02 08:38:15.277542,93,133.7
2023-02-02 08:38:16.269239,94,133.9
2023-02-02 08:38:17.276515,95,133.9
2023-02-02 08:38:18.269034,96,134.1
2023-02-02 08:38:19.276465,97,134.2
2023-02-02 08:38:20.268413,98,134.4
2023-02-02 08:38:21.275925,99,134.5
2023-02-02 08:38:22.282562,100,134.7
2023-02-02 08:38:23.275177,101,134.8
2023-02-02 08:38:24.267067,102,134.8
2023-02-02 08:38:25.274523,103,135.1
2023-02-02 08:38:26.281562,104,135.1
2023-02-02 08:38:27.274076,105,135.2
2023-02-02 08:38:28.281034,106,135.3
2023-02-02 08:38:29.273490,107,135.3
2023-02-02 08:38:30.280665,108,135.3
2023-02-02 08:38:31.273361,109,135.2
2023-02-02 08:38:32.279869,110,135.4
2023-02-02 08:38:33.272497,111,135.5
2023-02-02 08:38:34.280253,112,135.4
2023-02-02 08:38:35.272335,113,135.3
2023-02-02 08:38:36.279346,114,135.4
2023-02-02 08:38:37.271231,115,135.6
2023-02-02 08:38:38.278803,116,135.5
2023-02-02 08:38:39.285441,117,135.4
2023-02-02 08:38:40.279024,118,135.4
2023-02-02 08:38:41.286374,119,135.4
2023-02-02 08:38:42.277788,120,135.6
2023-02-02 08:38:43.284542,121,135.5
2023-02-02 08:38:44.277173,122,135.5
2023-02-02 08:38:45.284259,123,135.6
2023-02-02 08:38:46.276691,124,135.5
2023-02-02 08:38:47.284235,125,135.2
2023-02-02 08:38:48.276698,126,135.3
2023-02-02 08:38:49.283687,127,135.3
2023-02-02 08:38:50.275358,128,135.2
2023-02-02 08:38:51.282578,129,135.1
2023-02-02 08:38:52.274522,130,135.0
2023-02-02 08:38:53.282412,131,135.0
2023-02-02 08:38:54.289100,132,134.9
2023-02-02 08:38:55.281880,133,134.8
2023-02-02 08:38:56.289156,134,134.7
2023-02-02 08:38:57.281095,135,135.0
2023-02-02 08:38:58.288852,136,134.9
2023-02-02 08:38:59.280826,137,135.0
2023-02-02 08:39:00.288162,138,135.1
2023-02-02 08:39:01.280352,139,135.2
2023-02-02 08:39:02.287804,140,135.3
2023-02-02 08:39:03.294545,141,135.5
2023-02-02 08:39:04.287194,142,135.5
2023-02-02 08:39:05.294683,143,135.6
2023-02-02 08:39:06.287159,144,135.5
2023-02-02 08:39:07.294029,145,135.6
2023-02-02 08:39:08.286185,146,135.6
2023-02-02 08:39:09.293464,147,135.7
2023-02-02 08:39:10.289127,148,135.7
2023-02-02 08:39:11.293536,149,135.7
2023-02-02 08:39:12.285185,150,135.7
2023-02-02 08:39:13.292681,151,135.7
2023-02-02 08:39:14.299429,152,135.6
2023-02-02 08:39:15.292249,153,135.7
2023-02-02 08:39:16.299366,154,135.7
2023-02-02 08:39:17.292239,155,135.7
2023-02-02 08:39:18.298995,156,135.6
2023-02-02 08:39:19.290951,157,135.6
2023-02-02 08:39:20.298176,158,135.5
2023-02-02 08:39:21.290246,159,135.4
2023-02-02 08:39:22.297191,160,134.9
2023-02-02 08:39:23.289547,161,134.7
2023-02-02 08:39:24.297382,162,134.6
2023-02-02 08:39:25.304397,163,134.2
2023-02-02 08:39:26.296577,164,134.0
2023-02-02 08:39:27.304815,165,134.1
2023-02-02 08:39:28.296097,166,133.8
2023-02-02 08:39:29.303474,167,133.6
2023-02-02 08:39:30.295727,168,133.8
2023-02-02 08:39:31.303079,169,133.4
2023-02-02 08:39:32.295088,170,133.1
2023-02-02 08:39:33.302593,171,133.2
2023-02-02 08:39:34.309327,172,133.4
2023-02-02 08:39:35.302238,173,133.6
2023-02-02 08:39:36.294202,174,133.9
2023-02-02 08:39:37.302346,175,134.0
2023-02-02 08:39:38.308249,176,134.2
2023-02-02 08:39:39.300933,177,134.2
2023-02-02 08:39:40.308425,178,134.4
2023-02-02 08:39:41.300381,179,134.4
2023-02-02 08:39:42.308070,180,134.6
2023-02-02 08:39:43.299976,181,134.7
2023-02-02 08:39:44.307574,182,134.7
2023-02-02 08:39:45.299197,183,134.7
2023-02-02 08:39:46.306573,184,135.0
2023-02-02 08:39:47.297936,185,134.9
2023-02-02 08:39:48.306413,186,135.1
2023-02-02 08:39:49.313190,187,135.3
2023-02-02 08:39:50.305729,188,135.3
2023-02-02 08:39:51.313084,189,135.5
2023-02-02 08:39:52.305352,190,135.6
2023-02-02 08:39:53.312172,191,135.5
2023-02-02 08:39:54.304512,192,135.6
2023-02-02 08:39:55.311976,193,135.7
2023-02-02 08:39:56.304145,194,135.6
2023-02-02 08:39:57.311611,195,135.6
2023-02-02 08:39:58.318386,196,135.7
2023-02-02 08:39:59.310719,197,135.9
2023-02-02 08:40:00.302754,198,135.8
2023-02-02 08:40:01.310679,199,135.8
2023-02-02 08:40:02.318318,200,135.9
2023-02-02 08:40:03.310112,201,136.0
